"FCLT_ORGANIZATION_HIST_KEY","FISCAL_PERIOD","FCLT_ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","FCLT_ORG_PARENT_KEY","ORG_PARENT","FCLT_MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","DLC_KEY","DLC_NAME","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"150-201509","201509","150","150","DOFADM","DP OF FACIL ADM","163","EXECVP","163","EXECVP","4","592000","0101030621","1","","",01-APR-15,"D_FACILITIES","Department of Facilities","","",""
"151-201509","201509","151","151","DSL","DEAN-STU LIFE","129","CHNCLR","129","CHNCLR","4","442000","0101030300","1","","",01-APR-15,"D_DSL:HQ","Dean for Student Life - Headquarters","442000","10000745","Dean for Student Life"
"152-201509","201509","152","152","DUE","DEAN-UNDERGRD ED","129","CHNCLR","129","CHNCLR","4","441000","0101030400","1","","",01-APR-15,"D_DUE:HQ","DUE HQ","441000","10000722","Dean for Undergraduate Education"
"153-201509","201509","153","153","EA&PS","EARTH ATMO&PL SC","246","S SCI","230","PROVST","5","153000","0101060183","1","12","",01-APR-15,"D_EAPS","Earth, Atmospheric & Planetary Sciences","153000","10000527","Earth, Atmospheric &  Planetary Sciences"
"154-201509","201509","154","154","ECONOM","ECONOMICS","244","S H&SS","230","PROVST","5","091000","0101060141","1","14","",01-APR-15,"D_ECO","Economics","091000","10000359","Economics"
"155-201509","201509","155","155","EDGCTR","EDGERTON CENTER","152","DUE","129","CHNCLR","5","440100","0101030406","1","","",01-APR-15,"D_EDGERTON","Edgerton Center","440100","10000721","Edgerton Center"
"156-201509","201509","156","156","EE&CS","ELEC ENG&COMP SC","243","S ENG","230","PROVST","5","064000","0101060084","1","6","",01-APR-15,"D_EECS","Electrical Engineering & Computer Science","064000","10000322","Electrical Engineering-Computer Science"
"157-201509","201509","157","157","EHS","ENV HLTH & SAFE","163","EXECVP","163","EXECVP","4","392000","0101030631","1","","",01-APR-15,"D_EHSO","Environment, Health and Safety Office","392000","10000591","Environment, Health & Safety Office"
"158-201509","201509","158","158","EI","ENERGY INITIATIV","266","VP-RES","230","PROVST","5","320000","0101060216","1","","",01-APR-15,"D_LFEE","MIT Energy Initiative","320000","10000582","MIT Energy Initiative"
"159-201509","201509","159","159","ENDCTT","ENDICOTT HOUSE","160","ENTSVC","129","CHNCLR","6","872500","0101030312","1","","",01-APR-15,"D_ENDICOTT","Endicott House","872500","10000912","Endicott House"
"160-201509","201509","160","160","ENTSVC","ENTERPRISE SERVICES","151","DSL","129","CHNCLR","5","406200","0101030308","1","","",01-APR-15,"D_ENTSRVCS","Enterprise Services","406200","10000648","Enterprise Services"
"161-201509","201509","161","161","ESDHQ","ENG SYS DIV HQTR","243","S ENG","230","PROVST","5","068100","0101060087","1","ESD","",01-APR-15,"D_ENGSYS","Engineering Systems Division","068100","10000333","Engineering Systems Division"
"162-201509","201509","162","162","ESTDY","EXPER STUDY GRP","152","DUE","129","CHNCLR","5","159000","0101030407","1","","",01-APR-15,"D_ESG","Experimental Study Group","159000","10000541","Experimental Study Group"
"163-201509","201509","163","163","EXECVP","EXEC VICE PRES","224","PRES","163","EXECVP","3","404500","0101030600","1","","",01-APR-15,"D_EXECVP","Executive Vice President's Office","404500","10000622","Executive Vice President and Treasurer"
"164-201509","201509","164","164","F CLUB","FACULTY CLUB","147","DINING","129","CHNCLR","6","873000","0101030305","1","","",01-APR-15,"D_DINING","Campus Dining","","",""
"165-201509","201509","165","165","FBML","F BITTER MAG LAB","266","VP-RES","230","PROVST","5","265000","0101060219","1","","",01-APR-15,"D_MAGLAB","Francis Bitter Magnet Laboratory","265000","10000576","Francis Bitter Magnet Laboratory"
"166-201509","201509","166","166","FINANC","OFF OF BUDGT&FIN","163","EXECVP","163","EXECVP","4","427000","0101030640","1","","",01-APR-15,"D_OBFP","Office of Budget & Financial Planning","427000","10000705","Budget and Financial Analysis"
"167-201509","201509","167","167","FOR L&L","FOREIGN LANGUAGE & LITERATURE","244","S H&SS","230","PROVST","5","093300","0101060142","1","21F","",01-APR-15,"D_FLL","Foreign Languages & Literature","093300","10000362","Global Studies and Languages"
"168-201509","201509","168","168","FSS","FINANC SYS SVCS","179","IS&T","163","EXECVP","5","421200","0101030638","1","","",01-APR-15,"D_IS&T","Information Services and Technology","421200","10000682","Financial Systems Services"
"169-201509","201509","169","169","HAYSTK","HAYSTACK OBS","266","VP-RES","230","PROVST","5","401710","0101060222","1","","",01-APR-15,"D_HAYSTACK","Haystack Observatory","401710","10000601","Haystack Observatory"
"170-201509","201509","170","170","HHMI","HH MEDICAL INST","271","ZORG","271","ZORG","4","","0101120006","1","","",01-APR-15,"D_HHMI","Howard Hughes Medical Institute","","",""
"171-201509","201509","171","171","HIST","HISTORY","244","S H&SS","230","PROVST","5","093400","0101060143","1","21H","",01-APR-15,"D_HISTORY","History","093400","10000363","History Section"
"172-201509","201509","172","172","HMNRES","HUMAN RESOURCES","265","VP-HUM","163","EXECVP","5","409000","0101030663","1","","",01-APR-15,"D_HR","Human Resources Department","409000","10000653","Human Resources"
"174-201509","201509","174","174","HUMAN","HUMANITIES","244","S H&SS","230","PROVST","5","093000","0101060144","1","21","",01-APR-15,"D_DHSS","Dean of Humanities & Social Sciences","","",""
"175-201509","201509","175","175","IMES","INST MED E & SCI","243","S ENG","230","PROVST","5","061901","0101060093","1","IMES","Institute For Medical Engineering & Science",01-APR-15,"D_IMES","Institute for Medical Engineering and Science","061901","10004284","Institute for Medical Eng. and Science"
"176-201509","201509","176","176","INSTPF","INST PROFESSORS","271","ZORG","271","ZORG","4","010000","0101120009","1","","",01-APR-15,"D_INST_PROF","Institute Professors","010000","10000265","Institute Professors"
"177-201509","201509","177","177","INVEST","INVEST MGMT CO","163","EXECVP","163","EXECVP","4","420000","0101030639","1","","",01-APR-15,"D_MITIMCO","MIT Investment Management Company","420000","10000673","MIT Investment Management Company"
"178-201509","201509","178","178","IPC","IND PERFORM CTR","243","S ENG","230","PROVST","5","060300","0101060090","1","","",01-APR-15,"D_NUCENG","Nuclear Science and Engineering","060300","10000292","Industrial Performance Center"
"101-201508","201508","101","101","A/VSVC","AUDIO-VISUAL SVC","160","ENTSVC","129","CHNCLR","6","874100","0101030309","1","","",01-MAR-15,"D_AVS","Audiovisual Services","874100","10000917","Audio Visual Services"
"102-201508","201508","102","102","ACT","ART CULT & TECH","247","SAP","230","PROVST","5","038000","0101060034","1","","",01-MAR-15,"D_ACT","Program in Art Culture & Technology","038000","10000276","Program in Art, Culture and Technology"
"103-201508","201508","103","103","ADMISS","ADMISSIONS","152","DUE","129","CHNCLR","5","446100","0101030402","1","","",01-MAR-15,"D_ADM","Admissions","446100","10000755","Admissions Office"
"104-201508","201508","104","104","AERO","AERO & ASTRO","243","S ENG","230","PROVST","5","061000","0101060054","1","16","",01-MAR-15,"D_AEROASTRO","Aeronautics and Astronautics","061000","10000299","Aeronautics and Astronautics"
"105-201508","201508","105","105","ALL","ALL","","","105","ALL","1","","0100000000","0","","",01-MAR-15,"","","","",""
"106-201508","201508","106","106","ALUMNI","ALUMNI/AE ASSOC","163","EXECVP","163","EXECVP","4","871000","0101030603","1","","",01-MAR-15,"D_ALUM","Alumni Association","871000","10000910","Alumni Association"
"107-201508","201508","107","107","ANTHRO","ANTHROPOLOGY","244","S H&SS","230","PROVST","5","093200","0101060136","1","21A","",01-MAR-15,"D_ANTHRO","Anthropology","093200","10000361","Anthropology Program"
"108-201508","201508","108","108","APRART","ASSOC PROV ARTS","230","PROVST","230","PROVST","4","401813","0101060006","1","","",01-MAR-15,"D_ARTS","Office of The Arts","401813","10000606","Office of the Arts"
"109-201508","201508","109","109","APROV","ASSOC PROVOST","230","PROVST","230","PROVST","4","401801","0101060003","1","","",01-MAR-15,"D_MASDAR","Masdar Institute","401801","10004208","Masdar"
"110-201508","201508","110","110","ARCH","ARCHITECTURE","247","SAP","230","PROVST","5","031000","0101060036","1","4","",01-MAR-15,"D_ARCH","Architecture","031000","10000270","Architecture"
"111-201508","201508","111","111","ASP","ADVD STUDY PROGM","243","S ENG","230","PROVST","5","061400","0101060052","1","","",01-MAR-15,"D_ASP","Advanced Study Program","061400","10000928","Advanced Study Program"
"112-201508","201508","112","112","ATHENA","ATHENA","271","ZORG","271","ZORG","4","","0101120003","1","","",01-MAR-15,"D_IS&T","Information Services and Technology","","",""
"113-201508","201508","113","113","ATHLTC","ATHLETICS","151","DSL","129","CHNCLR","5","501000","0101030301","1","","",01-MAR-15,"D_ATHLETICS","Dept of Athletics, Phys Ed, & Recreation","501000","10000804","DAPER Intercollegiate Sports"
"114-201508","201508","114","114","AUDIT","AUDIT DIVISION","163","EXECVP","163","EXECVP","4","423000","0101030606","1","","",01-MAR-15,"D_AUDIT","Audit Division","423000","10000698","Audit Division"
"115-201508","201508","115","115","BCS","BRAIN & COG SCI","246","S SCI","230","PROVST","5","154500","0101060168","1","9","",01-MAR-15,"D_B&CS","Brain & Cognitive Sciences","154500","10000535","Brain & Cognitive Sciences"
"116-201508","201508","116","116","BEDEP","BIOENG DEPT","243","S ENG","230","PROVST","5","069200","0101060060","1","BE","",01-MAR-15,"D_BIOENG","Biological Engineering","069200","10000347","Department of Biological Engineering"
"117-201508","201508","117","117","BIOLGY","BIOLOGY","246","S SCI","230","PROVST","5","151000","0101060165","1","7","",01-MAR-15,"D_BIOLOGY","Biology","151000","10000429","Biology"
"118-201508","201508","118","118","BIOTEC","BIOTEC PRO ENG C","243","S ENG","230","PROVST","5","068800","0101060063","1","","",01-MAR-15,"D_BPEC","Biotechnology Process Engineering Center","068800","10000339","Biotechnology Process Engineering Center"
"119-201508","201508","119","119","CAES","C FOR ADV EDU SV","211","OFPROV","230","PROVST","5","405100","0101060027","1","CAES","",01-MAR-15,"D_CAES","Center for Advanced Educational Services","405100","10000624","Center for Advanced Educational Services"
"120-201508","201508","120","120","CAMMIT","CAMBRIDGE-MIT INST","271","ZORG","271","ZORG","4","400900","0101120004","1","","",01-MAR-15,"D_CMI","Cambridge-MIT Institute","400900","10000594","Cambridge-MIT Institute"
"121-201508","201508","121","121","CARDSV","CARD SERVICES","160","ENTSVC","129","CHNCLR","6","862000","0101030310","1","","",01-MAR-15,"D_MITCARD","MIT Card Office","862000","10000909","MIT Card Office"
"122-201508","201508","122","122","CAREER","CAREER SERVICES","152","DUE","129","CHNCLR","5","446600","0101030404","1","","",01-MAR-15,"D_CSPA","Career Serv & Pre-Prof Advising","446600","10000759","Global Education & Career Developmnt Ctr"
"125-201508","201508","125","125","CHAIRM","CHAIRMAN OF CORP","224","PRES","125","CHAIRM","3","400000","0101010000","1","","",01-MAR-15,"D_CORP_CHAIR","Office of the Corporate Chairman","400000","10000592","Chairman of the Corporation"
"126-201508","201508","126","126","CHEM","CHEMISTRY","246","S SCI","230","PROVST","5","152000","0101060177","1","5","",01-MAR-15,"D_CHEM","Chemistry","152000","10000491","Chemistry"
"127-201508","201508","127","127","CHEME","CHEMICAL ENG","243","S ENG","230","PROVST","5","062000","0101060075","1","10","",01-MAR-15,"D_CHEME","Chemical Engineering","062000","10000319","Chemical Engineering"
"128-201508","201508","128","128","CHILDC","CHILD CARE","172","HMNRES","163","EXECVP","6","409500","0101030666","1","","",01-MAR-15,"D_BA","Benefits Administration","","",""
"129-201508","201508","129","129","CHNCLR","CHANCELLOR","224","PRES","129","CHNCLR","3","","0101030000","1","","",01-MAR-15,"D_CHANCELLOR","Chancellor's Office","","",""
"130-201508","201508","130","130","CIPD","C INNOV PROD DEV","243","S ENG","230","PROVST","5","068900","0101060069","1","","",01-MAR-15,"D_CIPD","Center for Innovation in Product Development","068900","10000346","Center for Innovation in Product Develmt"
"131-201508","201508","131","131","CIS","C FOR INT STUDIE","244","S H&SS","230","PROVST","5","097500","0101060138","1","","",01-MAR-15,"D_CIS","Center for International Studies","097500","10000371","Center for International Studies"
"132-201508","201508","132","132","CIVIL","CIVIL & ENV ENG","243","S ENG","230","PROVST","5","063000","0101060078","1","1","",01-MAR-15,"D_CEE","Civil & Environmental Engineering","063000","10000320","Civil and Environmental Engineering"
"133-201508","201508","133","133","CMPACT","CAMP ACTIV COMPL","151","DSL","129","CHNCLR","5","405500","0101030303","1","","",01-MAR-15,"D_CAC","Campus Activities Complex","405500","10000636","Campus Activities Complex"
"134-201508","201508","134","134","CMRA&E","C FOR MT RES A&E","204","MS&E","230","PROVST","6","401830","0101060117","1","","",01-MAR-15,"D_DMSE","Dept Material Science and Engineering","","",""
"135-201508","201508","135","135","CMS/W","COMPARATIVE MEDIA STUDIES","244","S H&SS","230","PROVST","5","093800","0101060139","1","CMS","",01-MAR-15,"D_CMS","Comparative Media Studies/Writing","093800","10000366","Comparative Media Studies/Writing"
"136-201508","201508","136","136","CMSE","C FOR M S & ENG","243","S ENG","230","PROVST","5","246000","0101060079","1","","",01-MAR-15,"D_CMSE","Center for Materials Science & Engineering","246000","10000573","Center for Matl Science and Engineering"
"137-201508","201508","137","137","CONCRS","CONCOURSE","152","DUE","129","CHNCLR","5","069600","0101030405","1","","",01-MAR-15,"D_CONCOURSE","Concourse","069600","10002483","Concourse"
"138-201508","201508","138","138","COPYTC","COPY TECH CENTER","160","ENTSVC","129","CHNCLR","6","874200","0101030311","1","","",01-MAR-15,"D_COPYTECH","Copy Technology Center","874200","10000918","Copy Technology Centers"
"139-201508","201508","139","139","CRC","CLINICAL RES CTR","175","IMES","230","PROVST","6","163000","0101060094","1","","",01-MAR-15,"D_CLINRES","Clinical Research Center","163000","10000550","Clinical Research Center"
"140-201508","201508","140","140","CRE","C FOR RL ESTATE","247","SAP","230","PROVST","5","033000","0101060042","1","","",01-MAR-15,"D_CRE","Center for Real Estate","033000","10000272","Center for Real Estate"
"141-201508","201508","141","141","CRPDEV","CORP DEVELOPMENT","263","VP-DEV","163","EXECVP","5","410010","0101030678","1","","",01-MAR-15,"D_RESDEV","Vice President for Resource Development","410010","10000659","Corporate Development"
"142-201508","201508","142","142","CSAIL","COMP SCI & AI LAB","266","VP-RES","230","PROVST","5","067900","0101060208","1","","",01-MAR-15,"D_CSAIL","Computer Sciences and Artificial Intelligence Lab","067900","10000957","Comp Sci & Artificial Intelligence Lab"
"143-201508","201508","143","143","CTL","C FOR TRANSP LOG","243","S ENG","230","PROVST","5","069500","0101060066","1","","",01-MAR-15,"D_CTL","Center for Transportation & Logistics","069500","10000350","Center for Transportation & Logistics"
"144-201508","201508","144","144","D-GRAD","DEAN-GRAD STU","129","CHNCLR","129","CHNCLR","4","402200","0101030100","1","","",01-MAR-15,"D_DEANGRAD","Dean Of The Grad School Office","402200","10000613","Ofc of the Dean for Graduate Education"
"145-201508","201508","145","145","DCM","DIV OF COMP MED","266","VP-RES","230","PROVST","5","402100","0101060213","1","","",01-MAR-15,"D_COMPMED","Division Of Comparative Medicine","402100","10000612","Division of Comparative Medicine"
"146-201508","201508","146","146","DIBNER","DIBNER INSTITUTE","217","OTHNON","217","OTHNON","4","401100","0101031506","1","","",01-MAR-15,"D_DIBNER","Dibner Institute","401100","10000596","Dibner Institute"
"147-201508","201508","147","147","DINING","CAMPUS DINING","151","DSL","129","CHNCLR","5","801000","0101030304","1","","",01-MAR-15,"D_DINING","Campus Dining","801000","10000889","Dining"
"148-201508","201508","148","148","DIRLIB","DIR OF LIBRARIES","230","PROVST","230","PROVST","4","270000","0101060015","1","","",01-MAR-15,"D_LIBRARIES","Libraries","","",""
"149-201508","201508","149","149","DOF","DP OF FACILITIES","150","DOFADM","163","EXECVP","5","591000","0101030624","0","","",01-MAR-15,"D_FACILITIES","Department of Facilities","591000","10000853","Department of Facilities"
"150-201508","201508","150","150","DOFADM","DP OF FACIL ADM","163","EXECVP","163","EXECVP","4","592000","0101030621","1","","",01-MAR-15,"D_FACILITIES","Department of Facilities","","",""
"151-201508","201508","151","151","DSL","DEAN-STU LIFE","129","CHNCLR","129","CHNCLR","4","442000","0101030300","1","","",01-MAR-15,"D_DSL:HQ","Dean for Student Life - Headquarters","442000","10000745","Dean for Student Life"
"152-201508","201508","152","152","DUE","DEAN-UNDERGRD ED","129","CHNCLR","129","CHNCLR","4","441000","0101030400","1","","",01-MAR-15,"D_DUE:HQ","DUE HQ","441000","10000722","Dean for Undergraduate Education"
"153-201508","201508","153","153","EA&PS","EARTH ATMO&PL SC","246","S SCI","230","PROVST","5","153000","0101060183","1","12","",01-MAR-15,"D_EAPS","Earth, Atmospheric & Planetary Sciences","153000","10000527","Earth, Atmospheric &  Planetary Sciences"
"154-201508","201508","154","154","ECONOM","ECONOMICS","244","S H&SS","230","PROVST","5","091000","0101060141","1","14","",01-MAR-15,"D_ECO","Economics","091000","10000359","Economics"
"155-201508","201508","155","155","EDGCTR","EDGERTON CENTER","152","DUE","129","CHNCLR","5","440100","0101030406","1","","",01-MAR-15,"D_EDGERTON","Edgerton Center","440100","10000721","Edgerton Center"
"156-201508","201508","156","156","EE&CS","ELEC ENG&COMP SC","243","S ENG","230","PROVST","5","064000","0101060084","1","6","",01-MAR-15,"D_EECS","Electrical Engineering & Computer Science","064000","10000322","Electrical Engineering-Computer Science"
"157-201508","201508","157","157","EHS","ENV HLTH & SAFE","163","EXECVP","163","EXECVP","4","392000","0101030631","1","","",01-MAR-15,"D_EHSO","Environment, Health and Safety Office","392000","10000591","Environment, Health & Safety Office"
"158-201508","201508","158","158","EI","ENERGY INITIATIV","266","VP-RES","230","PROVST","5","320000","0101060216","1","","",01-MAR-15,"D_LFEE","MIT Energy Initiative","320000","10000582","MIT Energy Initiative"
"159-201508","201508","159","159","ENDCTT","ENDICOTT HOUSE","160","ENTSVC","129","CHNCLR","6","872500","0101030312","1","","",01-MAR-15,"D_ENDICOTT","Endicott House","872500","10000912","Endicott House"
"160-201508","201508","160","160","ENTSVC","ENTERPRISE SERVICES","151","DSL","129","CHNCLR","5","406200","0101030308","1","","",01-MAR-15,"D_ENTSRVCS","Enterprise Services","406200","10000648","Enterprise Services"
"161-201508","201508","161","161","ESDHQ","ENG SYS DIV HQTR","243","S ENG","230","PROVST","5","068100","0101060087","1","ESD","",01-MAR-15,"D_ENGSYS","Engineering Systems Division","068100","10000333","Engineering Systems Division"
"162-201508","201508","162","162","ESTDY","EXPER STUDY GRP","152","DUE","129","CHNCLR","5","159000","0101030407","1","","",01-MAR-15,"D_ESG","Experimental Study Group","159000","10000541","Experimental Study Group"
"163-201508","201508","163","163","EXECVP","EXEC VICE PRES","224","PRES","163","EXECVP","3","404500","0101030600","1","","",01-MAR-15,"D_EXECVP","Executive Vice President's Office","404500","10000622","Executive Vice President and Treasurer"
"164-201508","201508","164","164","F CLUB","FACULTY CLUB","147","DINING","129","CHNCLR","6","873000","0101030305","1","","",01-MAR-15,"D_DINING","Campus Dining","","",""
"165-201508","201508","165","165","FBML","F BITTER MAG LAB","266","VP-RES","230","PROVST","5","265000","0101060219","1","","",01-MAR-15,"D_MAGLAB","Francis Bitter Magnet Laboratory","265000","10000576","Francis Bitter Magnet Laboratory"
"166-201508","201508","166","166","FINANC","OFF OF BUDGT&FIN","163","EXECVP","163","EXECVP","4","427000","0101030640","1","","",01-MAR-15,"D_OBFP","Office of Budget & Financial Planning","427000","10000705","Budget and Financial Planning"
"167-201508","201508","167","167","FOR L&L","FOREIGN LANGUAGE & LITERATURE","244","S H&SS","230","PROVST","5","093300","0101060142","1","21F","",01-MAR-15,"D_FLL","Foreign Languages & Literature","093300","10000362","Global Studies and Languages"
"168-201508","201508","168","168","FSS","FINANC SYS SVCS","179","IS&T","163","EXECVP","5","421200","0101030638","1","","",01-MAR-15,"D_IS&T","Information Services and Technology","421200","10000682","Financial Systems Services"
"169-201508","201508","169","169","HAYSTK","HAYSTACK OBS","266","VP-RES","230","PROVST","5","401710","0101060222","1","","",01-MAR-15,"D_HAYSTACK","Haystack Observatory","401710","10000601","Haystack Observatory"
"170-201508","201508","170","170","HHMI","HH MEDICAL INST","271","ZORG","271","ZORG","4","","0101120006","1","","",01-MAR-15,"D_HHMI","Howard Hughes Medical Institute","","",""
"171-201508","201508","171","171","HIST","HISTORY","244","S H&SS","230","PROVST","5","093400","0101060143","1","21H","",01-MAR-15,"D_HISTORY","History","093400","10000363","History Section"
"172-201508","201508","172","172","HMNRES","HUMAN RESOURCES","265","VP-HUM","163","EXECVP","5","409000","0101030663","1","","",01-MAR-15,"D_HR","Human Resources Department","409000","10000653","Human Resources"
"174-201508","201508","174","174","HUMAN","HUMANITIES","244","S H&SS","230","PROVST","5","093000","0101060144","1","21","",01-MAR-15,"D_DHSS","Dean of Humanities & Social Sciences","","",""
"175-201508","201508","175","175","IMES","INST MED E & SCI","243","S ENG","230","PROVST","5","061901","0101060093","1","IMES","Institute For Medical Engineering & Science",01-MAR-15,"D_IMES","Institute for Medical Engineering and Science","061901","10004284","Institute for Medical Eng. and Science"
"176-201508","201508","176","176","INSTPF","INST PROFESSORS","271","ZORG","271","ZORG","4","010000","0101120009","1","","",01-MAR-15,"D_INST_PROF","Institute Professors","010000","10000265","Institute Professors"
"177-201508","201508","177","177","INVEST","INVEST MGMT CO","163","EXECVP","163","EXECVP","4","420000","0101030639","1","","",01-MAR-15,"D_MITIMCO","MIT Investment Management Company","420000","10000673","MIT Investment Management Company"
"178-201508","201508","178","178","IPC","IND PERFORM CTR","243","S ENG","230","PROVST","5","060300","0101060090","1","","",01-MAR-15,"D_NUCENG","Nuclear Science and Engineering","060300","10000292","Industrial Performance Center"
"179-201508","201508","179","179","IS&T","INFO SVCS & TECH","163","EXECVP","163","EXECVP","4","404400","0101030637","1","","",01-MAR-15,"D_IS&T","Information Services and Technology","404400","10000621","HQ, Information Systems & Technology"
"180-201508","201508","180","180","ISN","INST SLDR NANOTECH","266","VP-RES","230","PROVST","5","417000","0101060223","1","","",01-MAR-15,"D_ISN","Institute for Soldier Nanotechnologies","417000","10000933","Institute for Soldier Nanotechnologies"
"181-201508","201508","181","181","KAVLI","K I FOR AST&SP R","246","S SCI","230","PROVST","5","159600","0101060187","1","","",01-MAR-15,"D_CSR","Kavli Institute for Astrophysics & Space Research","159600","10000544","Kavli Inst for Astrophysics & Space Rsrh"
"182-201508","201508","182","182","KIICR","KOCH INS INT C R","246","S SCI","230","PROVST","5","159700","0101060188","1","","",01-MAR-15,"D_KI","Koch Institute for Integrative Cancer Research","","",""
"183-201508","201508","183","183","LCS","LAB FOR COMP SC","243","S ENG","230","PROVST","5","068600","0101060096","1","","",01-MAR-15,"D_CSAIL","Computer Sciences and Artificial Intelligence Lab","","",""
"184-201508","201508","184","184","LE&ES","LAB FOR E&E SYS","237","RLE","230","PROVST","6","069300","0101060235","1","","",01-MAR-15,"D_RLE","Research Lab Of Electronics","069300","10000348","Lab for Electromagnetic Electronic Sys"
"186-201508","201508","186","186","LGO-SDM","LDRS GBL OPS-SYS DSN MGMT","243","S ENG","230","PROVST","5","170000","0101060108","1","","Leaders for Global Operations-Systems Design Management",01-MAR-15,"D_LGO","Leaders for Global Operations","170000","10000554","Leaders for Global Operations Program"
"187-201508","201508","187","187","LI&DS","LAB INFO&DEC SYS","243","S ENG","230","PROVST","5","068700","0101060105","1","","",01-MAR-15,"D_LIDS","Laboratory for Information & Decision Systems","068700","10000338","Lab for Information & Decision Systems"
"188-201508","201508","188","188","LI&PHL","LING & PHIL","244","S H&SS","230","PROVST","5","094000","0101060147","1","24","",01-MAR-15,"D_L&P","Linguistics & Philosophy","094000","10000367","Linguistics & Philosophy"
"189-201508","201508","189","189","LIBRAR","LIBRARIES","148","DIRLIB","230","PROVST","5","271000","0101060018","1","","",01-MAR-15,"D_LIBRARIES","Libraries","271000","10000579","Libraries"
"190-201508","201508","190","190","LICENC","TECH LICENSE OFF","109","APROV","230","PROVST","5","404000","0101060004","1","","",01-MAR-15,"D_TLO","Techology Licensing Office","404000","10000618","Technology Licensing Office"
"191-201508","201508","191","191","LINCLB","LINCOLN LAB","266","VP-RES","230","PROVST","5","310000","0101060260","1","","",01-MAR-15,"D_LINCOLN","Lincoln Laboratory","310000","10000581","Lincoln Laboratory"
"192-201508","201508","192","192","LIST","LIST VIS ART CTR","108","APRART","230","PROVST","5","401812","0101060009","1","","",01-MAR-15,"D_LVA","List Visual Arts Center","401812","10000605","List Visual Arts Center"
"193-201508","201508","193","193","LIT","LITERATURE","244","S H&SS","230","PROVST","5","093600","0101060148","1","21L","",01-MAR-15,"D_LIT","Literature","093600","10000364","Literature Section"
"194-201508","201508","194","194","LM&P","LAB FOR MFG&PROD","199","MECH","230","PROVST","6","069700","0101060122","1","","",01-MAR-15,"D_MECHE","Mechanical Engineering","069700","10000352","Lab for Manufacturing & Productivity"
"195-201508","201508","195","195","LNS","LAB FOR NUCL SCI","246","S SCI","230","PROVST","5","159900","0101060189","1","","",01-MAR-15,"D_LNS","Laboratory for Nuclear Science","159900","10000547","Laboratory for Nuclear Science"
"196-201508","201508","196","196","M&T ART","MUSIC & THEATER ART","244","S H&SS","230","PROVST","5","093700","0101060149","1","21M","",01-MAR-15,"D_MTA","Music & Theater Arts","093700","10000365","Music and Theater Arts Section"
"197-201508","201508","197","197","MATH","MATHEMATICS","246","S SCI","230","PROVST","5","154000","0101060192","1","18","",01-MAR-15,"D_MATHS","Mathematics","154000","10000533","Mathematics"
"198-201508","201508","198","198","MATPRO","MATS PROC CTR","243","S ENG","230","PROVST","5","069800","0101060111","1","","",01-MAR-15,"D_MPC","Materials Processing Center","069800","10000353","Materials Processing Center"
"199-201508","201508","199","199","MECH","MECHANICAL ENG","243","S ENG","230","PROVST","5","065000","0101060120","1","2","",01-MAR-15,"D_MECHE","Mechanical Engineering","065000","10000324","Mechanical Engineering"
"200-201508","201508","200","200","MEDIA","MEDIA LABORATORY","247","SAP","230","PROVST","5","039000","0101060045","1","","",01-MAR-15,"D_MEDIA","Media Lab","039000","10000277","Media Laboratory"
"201-201508","201508","201","201","MEDICL","MEDICAL DEPT","265","VP-HUM","163","EXECVP","5","495000","0101030667","1","","",01-MAR-15,"D_MEDICAL","MIT Medical Department","495000","10000792","Medical"
"202-201508","201508","202","202","MGMT","MANAGEMENT","245","S MGMT","230","PROVST","5","121000","0101060159","1","15","",01-MAR-15,"D_SLOAN","Sloan School of Management","121000","10000378","Sloan School of Management"
"203-201508","201508","203","203","MIBR","MCGOVERN INSTITUTE","211","OFPROV","230","PROVST","5","400600","0101060026","1","","",01-MAR-15,"D_MCGOVERN","McGovern Institute for Brain Research","400600","10000593","McGovern Institute for Brain Research"
"204-201508","201508","204","204","MS&E","MATS SCI & ENG","243","S ENG","230","PROVST","5","066000","0101060114","1","3","",01-MAR-15,"D_DMSE","Dept Material Science and Engineering","066000","10000325","Materials Science and Engineering"
"205-201508","201508","205","205","MTL","MICROSYSTEMS LAB","243","S ENG","230","PROVST","5","060600","0101060124","1","","",01-MAR-15,"D_MTL","Microsystems Technology Laboratory","060600","10000294","Microsystems Technology Laboratories"
"206-201508","201508","206","206","MUSEUM","MIT MUSEUM","108","APRART","230","PROVST","5","401811","0101060012","1","","",01-MAR-15,"D_MUSEUM","MIT Museum","401811","10000604","Museum"
"207-201508","201508","207","207","NRL","NUCL REACTOR LAB","266","VP-RES","230","PROVST","5","264000","0101060226","1","","",01-MAR-15,"D_NRL","Nuclear Reactor Laboratory","264000","10000575","Nuclear Reactor Laboratory"
"208-201508","201508","208","208","NSE","NUCLEAR SCI & ENG","243","S ENG","230","PROVST","5","068000","0101060126","1","22","",01-MAR-15,"D_NUCENG","Nuclear Science and Engineering","068000","10000331","Nuclear Science and Engineering"
