"DEGREE_CODE","DEGREE_DESC","DEGREE_DESC_SHORT","DEGREE_TYPE","DEGREE_TYPE_DESC","DEGREE_WEIGHT","FROM_TERM","THRU_TERM","DEPARTMENT","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME_IN_COMMENCEMENT_BK","COURSE","COURSE_LEVEL","IS_DOUBLE_MAJOR","COMMENCEMENT_BK_COURSE_ROMAN","COMMENCEMENT_BK_SEE_ALSO","DEGREE_LAST_ACTIVITY_DATE","COURSE_LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"SM13NA","Master of Science in Naval Architecture and Marine Engineering","Master of Science in Naval Architecture and Marine Engineering","SM","Master of Science",3,"000000","2005SP","13","Department of Ocean Engineering","School of Engineering","13","G","N","Course XIII","S.M.(N.A.M.E.), Course XIII",16-JUN-06,28-JUN-94,28-OCT-24
"SM13NA","Master of Science in Naval Architecture and Marine Engineering","Master of Science in Naval Architecture and Marine Engineering","SM","Master of Science",3,"000000","2005SP","13","Department of Ocean Engineering","School of Engineering","13 M","G","N","Course XIII","S.M.(N.A.M.E.), Course XIII",16-JUN-06,23-NOV-93,28-OCT-24
"SM13NA","Master of Science in Naval Architecture and Marine Engineering","Master of Science in Naval Architecture and Marine Engineering","SM","Master of Science",3,"000000","2005SP","13","Department of Ocean Engineering","School of Engineering","13 A","G","N","Course XIII-A","S.M.(N.A.M.E.), Course XIII-A",16-JUN-06,23-NOV-93,28-OCT-24
"SM13NA","Master of Science in Naval Architecture and Marine Engineering","Master of Science in Naval Architecture and Marine Engineering","SM","Master of Science",3,"000000","2005SP","13","Department of Ocean Engineering","School of Engineering","13 D","G","N","Course XIII","S.M.(N.A.M.E.), Course XIII",16-JUN-06,15-JUL-94,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 M","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GD","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FD","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 EM","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 ED","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GM","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FM","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SM12EP","Master of Science in Earth and Planetary Sciences","Master of Science in Earth and Planetary Sciences","SM","Master of Science",3,"1970FA","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 D","G","N","Course XII","S.M.(Earth & Planet. Sci.), Course XII",22-APR-94,28-APR-11,28-OCT-24
"SMWS6","Master of Science (without specification of field, recommended by the Department of Electrical Engineering and Computer Science)","Master of Science (w/o spec of field, recommended by Elec. Eng. and Comp. Sci.)","SM","Master of Science",3,"1985SP","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6","G","N","Course VI","S.M., Course VI",23-APR-94,23-APR-94,28-OCT-24
"SMWS6","Master of Science (without specification of field, recommended by the Department of Electrical Engineering and Computer Science)","Master of Science (w/o spec of field, recommended by Elec. Eng. and Comp. Sci.)","SM","Master of Science",3,"1985SP","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 M","G","N","Course VI","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS6","Master of Science (without specification of field, recommended by the Department of Electrical Engineering and Computer Science)","Master of Science (w/o spec of field, recommended by Elec. Eng. and Comp. Sci.)","SM","Master of Science",3,"1985SP","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 A","G","N","Course VI","S.M., Without Spec.",23-APR-94,03-NOV-94,28-OCT-24
"SMWS7","Master of Science (without specification of field, recommended by the Department of Biology)","Master of Science (w/o spec of field, recommended by Biology)","SM","Master of Science",3,"1985SP","999999","7","Department of Biology","School of Science","7","G","N","Course VII","S.M., Course VII",23-APR-94,23-APR-94,28-OCT-24
"SMWS7","Master of Science (without specification of field, recommended by the Department of Biology)","Master of Science (w/o spec of field, recommended by Biology)","SM","Master of Science",3,"1985SP","999999","7","Department of Biology","School of Science","7 M","G","N","Course VII","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS8","Master of Science (without specification of field, recommended by the Department of Physics)","Master of Science (w/o spec of field, recommended by Physics)","SM","Master of Science",3,"1985SP","999999","8","Department of Physics","School of Science","8","G","N","Course VIII","S.M., Course VIII",23-APR-94,23-APR-94,28-OCT-24
"SMWS8","Master of Science (without specification of field, recommended by the Department of Physics)","Master of Science (w/o spec of field, recommended by Physics)","SM","Master of Science",3,"1985SP","999999","8","Department of Physics","School of Science","8 M","G","N","Course VIII","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS10","Master of Science (without specification of field, recommended by the Department of Chemical Engineering)","Master of Science (w/o spec of field, recommended by Chemical Engineering)","SM","Master of Science",3,"1985SP","999999","10","Department of Chemical Engineering","School of Engineering","10","G","N","Course X","S.M., Course X",23-APR-94,23-APR-94,28-OCT-24
"SMWS10","Master of Science (without specification of field, recommended by the Department of Chemical Engineering)","Master of Science (w/o spec of field, recommended by Chemical Engineering)","SM","Master of Science",3,"1985SP","999999","10","Department of Chemical Engineering","School of Engineering","10 M","G","N","Course X","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS4","Master of Science (without specification of field, recommended by the Department of Architecture)","Master of Science (w/o spec of field, recommended by Architecture)","SM","Master of Science",3,"1985SP","999999","4","Department of Architecture","School of Architecture and Planning","4 M","G","N","Course IV","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS4","Master of Science (without specification of field, recommended by the Department of Architecture)","Master of Science (w/o spec of field, recommended by Architecture)","SM","Master of Science",3,"1985SP","999999","4","Department of Architecture","School of Architecture and Planning","4","G","N","Course IV","S.M., Course IV",23-APR-94,23-APR-94,28-OCT-24
"SMWS2","Master of Science (without specification of field, recommended by the Department of Mechanical Engineering)","Master of Science (w/o spec of field, recommended by Mechanical Engineering)","SM","Master of Science",3,"1985SP","999999","2","Department of Mechanical Engineering","School of Engineering","2","G","N","Course II","S.M., Course II",18-AUG-03,23-APR-94,28-OCT-24
"SMWS2","Master of Science (without specification of field, recommended by the Department of Mechanical Engineering)","Master of Science (w/o spec of field, recommended by Mechanical Engineering)","SM","Master of Science",3,"1985SP","999999","2","Department of Mechanical Engineering","School of Engineering","2 M","G","N","Course II","S.M., Without Spec.",18-AUG-03,23-APR-94,28-OCT-24
"MAAS","Master of Architecture in Advanced Studies","Master of Architecture in Advanced Studies","SM","Master of Science",3,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4","G","N","Course IV","S.M., Course IV",22-APR-94,28-JUN-94,28-OCT-24
"SM25","Master of Science (without specification of field, recommended by the School of Science)","Master of Science (w/o spec of field, recommended by the School of Science)","SM","Master of Science",3,"1977SP","1983SU","25","","School of Science","25","G","N","Course XXV","S.M., Course XXV",22-OCT-94,28-JUN-94,28-OCT-24
"SM19","Master of Science in Meteorology","Master of Science in Meteorology","SM","Master of Science",3,"000000","999999","19","Department of Meteorology","School of Science","19","G","N","Course XIX","S.M., Course XIX",13-APR-94,28-JUN-94,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 W","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,28-JUN-94,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 WM","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,02-MAY-94,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GWD","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FWD","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 EWD","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CWD","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BWD","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AWD","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GWM","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FWM","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 EWM","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CWM","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BWM","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AWM","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,31-JAN-03,28-OCT-24
"SM12OW","Master of Science in Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"000000","2005FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 WD","G","N","Course XII","S.M., W.H.O.I.",08-FEB-05,03-NOV-94,28-OCT-24
"SM2T","Master of Science in Textile Technology","Master of Science in Textile Technology","SM","Master of Science",3,"000000","999999","2","Department of Mechanical Engineering","School of Engineering","2 T","G","N","Course II","S.M., Course II",13-APR-94,28-JUN-94,28-OCT-24
"SMWS22","Master of Science (without specification of Course or School, recommended by the Department of Nuclear Engineering)","Master of Science (w/o spec of field, recommended by Nuclear Engineering)","SM","Master of Science",3,"000000","1985JA","22","Department of Nuclear Science and Engineering","School of Engineering","22","G","N","Course XXII","S.M., Course XXII",23-APR-94,23-APR-94,28-OCT-24
"SMWS22","Master of Science (without specification of Course or School, recommended by the Department of Nuclear Engineering)","Master of Science (w/o spec of field, recommended by Nuclear Engineering)","SM","Master of Science",3,"000000","1985JA","22","Department of Nuclear Science and Engineering","School of Engineering","22 M","G","N","Course XXII","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS16","Master of Science (without specification of Course or School, recommended by the Department of Aeronautics and Astronautics)","Master of Science (w/o spec of field, recommended by Aeronautics and Astronautics)","SM","Master of Science",3,"000000","1985JA","16","Department of Aeronautics and Astronautics","School of Engineering","16","G","N","Course XVI","S.M., Course XVI",23-APR-94,23-APR-94,28-OCT-24
"SMWS16","Master of Science (without specification of Course or School, recommended by the Department of Aeronautics and Astronautics)","Master of Science (w/o spec of field, recommended by Aeronautics and Astronautics)","SM","Master of Science",3,"000000","1985JA","16","Department of Aeronautics and Astronautics","School of Engineering","16 M","G","N","Course XVI","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SM20","Master of Science in Biological Engineering","Master of Science in Biological Engineering","SM","Master of Science",3,"2007FA","999999","20","Department of Biological Engineering","School of Engineering","20 M","G","N","Course XX","S.M., Course XX",08-JUL-10,11-APR-06,28-OCT-24
"SMWS14","Master of Science (without specification of Course or School, recommended by the Department of Economics)","Master of Science (w/o spec of field, recommended by Economics)","SM","Master of Science",3,"1966FA","1985JA","14","Department of Economics","School of Humanities, Arts, and Social Sciences","14","G","N","Course XIV","S.M., Course XIV",23-APR-94,23-APR-94,28-OCT-24
"SMWS14","Master of Science (without specification of Course or School, recommended by the Department of Economics)","Master of Science (w/o spec of field, recommended by Economics)","SM","Master of Science",3,"1966FA","1985JA","14","Department of Economics","School of Humanities, Arts, and Social Sciences","14 M","G","N","Course XIV","S.M., Course XIV",23-APR-94,23-APR-94,28-OCT-24
"SMWS13","Master of Science (without specification of Course or School, recommended by the Department of Ocean Engineering)","Master of Science (w/o spec of field, recommended by Ocean Engineering)","SM","Master of Science",3,"1971SU","1985JA","13","Department of Ocean Engineering","School of Engineering","13","G","N","Course XIII","S.M., Course XIII",23-APR-94,23-APR-94,28-OCT-24
"SMWS13","Master of Science (without specification of Course or School, recommended by the Department of Ocean Engineering)","Master of Science (w/o spec of field, recommended by Ocean Engineering)","SM","Master of Science",3,"1971SU","1985JA","13","Department of Ocean Engineering","School of Engineering","13 M","G","N","Course XIII","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 EM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 ED","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 M","G","N","Course XII","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Geology and Geophysics)","Master of Science (w/o spec of field, recommended by Geology and Geophysics)","SM","Master of Science",3,"000000","1969FA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 EM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 ED","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 M","G","N","Course XII","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GD","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS12","Master of Science (without specification of Course or School, recommended by the Department of Earth, Atmospheric, and Planetary Sciences)","Master of Science (w/o spec of field, recommended by Earth, Atmospheric, and Planetary Sciences)","SM","Master of Science",3,"1984FA","1985JA","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AM","G","N","Course XII","S.M., Without Spec.",23-APR-94,31-JAN-03,28-OCT-24
"SMWS11","Master of Science (without specification of Course or School, recommended by the Department of Urban Studies and Planning)","Master of Science (w/o spec of field, recommended by Urban Studies and Planning)","SM","Master of Science",3,"1969SU","1985JA","11","Department of Urban Studies and Planning","School of Architecture and Planning","11 M","G","N","Course XI","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
"SMWS11","Master of Science (without specification of Course or School, recommended by the Department of Urban Studies and Planning)","Master of Science (w/o spec of field, recommended by Urban Studies and Planning)","SM","Master of Science",3,"1969SU","1985JA","11","Department of Urban Studies and Planning","School of Architecture and Planning","11","G","N","Course XI","S.M., Course XI",23-APR-94,23-APR-94,28-OCT-24
"SMWS8","Master of Science (without specification of Course or School, recommended by the Department of Physics)","Master of Science (w/o spec of field, recommended by Physics)","SM","Master of Science",3,"000000","1985JA","8","Department of Physics","School of Science","8","G","N","Course VIII","S.M., Course VIII",23-APR-94,23-APR-94,28-OCT-24
"SMWS8","Master of Science (without specification of Course or School, recommended by the Department of Physics)","Master of Science (w/o spec of field, recommended by Physics)","SM","Master of Science",3,"000000","1985JA","8","Department of Physics","School of Science","8 M","G","N","Course VIII","S.M., Without Spec.",23-APR-94,23-APR-94,28-OCT-24
