"FCLT_MAJOR_USE_HIST_KEY","FISCAL_PERIOD","FCLT_MAJOR_USE_KEY","MAJOR_USE","DESCRIPTION","ASSIGNABLE","WAREHOUSE_LOAD_DATE"
"112-202306","202306","112","SUPPORT","SUPPORT","1",01-JAN-23
"113-202306","202306","113","UNCLASS","UNCLASSIFIED","1",01-JAN-23
"114-202306","202306","114","ZUSE","ZUSE ICR ONLY","1",01-JAN-23
"101-202309","202309","101","BLDG SRV","BLDG SERVICE AREA","0",01-APR-23
"102-202309","202309","102","CIRCULAT","CIRCULATION AREA","0",01-APR-23
"103-202309","202309","103","CLASSRMS","CLASSROOMS","1",01-APR-23
"104-202309","202309","104","GENERAL","GENERAL USE","1",01-APR-23
"105-202309","202309","105","HEALTH","HEALTH CARE","1",01-APR-23
"106-202309","202309","106","LABS","LABORATORIES","1",01-APR-23
"107-202309","202309","107","MECHANIC","MECHANICAL AREA","0",01-APR-23
"108-202309","202309","108","OFFICES","OFFICES","1",01-APR-23
"109-202309","202309","109","RESIDENT","RESIDENTIAL","1",01-APR-23
"110-202309","202309","110","SPECIAL","SPECIAL USE","1",01-APR-23
"111-202309","202309","111","STUDY","STUDY","1",01-APR-23
"112-202309","202309","112","SUPPORT","SUPPORT","1",01-APR-23
"113-202309","202309","113","UNCLASS","UNCLASSIFIED","1",01-APR-23
"114-202309","202309","114","ZUSE","ZUSE ICR ONLY","1",01-APR-23
"101-202312","202312","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-23
"102-202312","202312","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-23
"103-202312","202312","103","CLASSRMS","CLASSROOMS","1",01-JUL-23
"104-202312","202312","104","GENERAL","GENERAL USE","1",01-JUL-23
"105-202312","202312","105","HEALTH","HEALTH CARE","1",01-JUL-23
"106-202312","202312","106","LABS","LABORATORIES","1",01-JUL-23
"107-202312","202312","107","MECHANIC","MECHANICAL AREA","0",01-JUL-23
"101-201807","201807","101","BLDG SRV","BLDG SERVICE AREA","0",01-FEB-18
"102-201807","201807","102","CIRCULAT","CIRCULATION AREA","0",01-FEB-18
"103-201807","201807","103","CLASSRMS","CLASSROOMS","1",01-FEB-18
"104-201807","201807","104","GENERAL","GENERAL USE","1",01-FEB-18
"105-201807","201807","105","HEALTH","HEALTH CARE","1",01-FEB-18
"106-201807","201807","106","LABS","LABORATORIES","1",01-FEB-18
"107-201807","201807","107","MECHANIC","MECHANICAL AREA","0",01-FEB-18
"108-201807","201807","108","OFFICES","OFFICES","1",01-FEB-18
"109-201807","201807","109","RESIDENT","RESIDENTIAL","1",01-FEB-18
"110-201807","201807","110","SPECIAL","SPECIAL USE","1",01-FEB-18
"111-201807","201807","111","STUDY","STUDY","1",01-FEB-18
"112-201807","201807","112","SUPPORT","SUPPORT","1",01-FEB-18
"113-201807","201807","113","UNCLASS","UNCLASSIFIED","1",01-FEB-18
"114-201807","201807","114","ZUSE","ZUSE ICR ONLY","1",01-FEB-18
"101-201901","201901","101","BLDG SRV","BLDG SERVICE AREA","0",01-AUG-18
"102-201901","201901","102","CIRCULAT","CIRCULATION AREA","0",01-AUG-18
"103-201901","201901","103","CLASSRMS","CLASSROOMS","1",01-AUG-18
"104-201901","201901","104","GENERAL","GENERAL USE","1",01-AUG-18
"105-201901","201901","105","HEALTH","HEALTH CARE","1",01-AUG-18
"106-201901","201901","106","LABS","LABORATORIES","1",01-AUG-18
"107-201901","201901","107","MECHANIC","MECHANICAL AREA","0",01-AUG-18
"108-201901","201901","108","OFFICES","OFFICES","1",01-AUG-18
"109-201901","201901","109","RESIDENT","RESIDENTIAL","1",01-AUG-18
"110-201901","201901","110","SPECIAL","SPECIAL USE","1",01-AUG-18
"111-201901","201901","111","STUDY","STUDY","1",01-AUG-18
"112-201901","201901","112","SUPPORT","SUPPORT","1",01-AUG-18
"113-201901","201901","113","UNCLASS","UNCLASSIFIED","1",01-AUG-18
"114-201901","201901","114","ZUSE","ZUSE ICR ONLY","1",01-AUG-18
"101-201902","201902","101","BLDG SRV","BLDG SERVICE AREA","0",01-SEP-18
"102-201902","201902","102","CIRCULAT","CIRCULATION AREA","0",01-SEP-18
"103-201902","201902","103","CLASSRMS","CLASSROOMS","1",01-SEP-18
"104-201902","201902","104","GENERAL","GENERAL USE","1",01-SEP-18
"105-201902","201902","105","HEALTH","HEALTH CARE","1",01-SEP-18
"106-201902","201902","106","LABS","LABORATORIES","1",01-SEP-18
"107-201902","201902","107","MECHANIC","MECHANICAL AREA","0",01-SEP-18
"108-201902","201902","108","OFFICES","OFFICES","1",01-SEP-18
"109-201902","201902","109","RESIDENT","RESIDENTIAL","1",01-SEP-18
"110-201902","201902","110","SPECIAL","SPECIAL USE","1",01-SEP-18
"111-201902","201902","111","STUDY","STUDY","1",01-SEP-18
"112-201902","201902","112","SUPPORT","SUPPORT","1",01-SEP-18
"113-201902","201902","113","UNCLASS","UNCLASSIFIED","1",01-SEP-18
"114-201902","201902","114","ZUSE","ZUSE ICR ONLY","1",01-SEP-18
"101-201904","201904","101","BLDG SRV","BLDG SERVICE AREA","0",01-NOV-18
"102-201904","201904","102","CIRCULAT","CIRCULATION AREA","0",01-NOV-18
"103-201904","201904","103","CLASSRMS","CLASSROOMS","1",01-NOV-18
"104-201904","201904","104","GENERAL","GENERAL USE","1",01-NOV-18
"105-201904","201904","105","HEALTH","HEALTH CARE","1",01-NOV-18
"106-201904","201904","106","LABS","LABORATORIES","1",01-NOV-18
"107-201904","201904","107","MECHANIC","MECHANICAL AREA","0",01-NOV-18
"108-201904","201904","108","OFFICES","OFFICES","1",01-NOV-18
"109-201904","201904","109","RESIDENT","RESIDENTIAL","1",01-NOV-18
"110-201904","201904","110","SPECIAL","SPECIAL USE","1",01-NOV-18
"111-201904","201904","111","STUDY","STUDY","1",01-NOV-18
"112-201904","201904","112","SUPPORT","SUPPORT","1",01-NOV-18
"113-201904","201904","113","UNCLASS","UNCLASSIFIED","1",01-NOV-18
"114-201904","201904","114","ZUSE","ZUSE ICR ONLY","1",01-NOV-18
"101-201912","201912","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-19
"102-201912","201912","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-19
"103-201912","201912","103","CLASSRMS","CLASSROOMS","1",01-JUL-19
"104-201912","201912","104","GENERAL","GENERAL USE","1",01-JUL-19
"105-201912","201912","105","HEALTH","HEALTH CARE","1",01-JUL-19
"106-201912","201912","106","LABS","LABORATORIES","1",01-JUL-19
"107-201912","201912","107","MECHANIC","MECHANICAL AREA","0",01-JUL-19
"108-201912","201912","108","OFFICES","OFFICES","1",01-JUL-19
"109-201912","201912","109","RESIDENT","RESIDENTIAL","1",01-JUL-19
"110-201912","201912","110","SPECIAL","SPECIAL USE","1",01-JUL-19
"111-201912","201912","111","STUDY","STUDY","1",01-JUL-19
"112-201912","201912","112","SUPPORT","SUPPORT","1",01-JUL-19
"113-201912","201912","113","UNCLASS","UNCLASSIFIED","1",01-JUL-19
"114-201912","201912","114","ZUSE","ZUSE ICR ONLY","1",01-JUL-19
"101-202005","202005","101","BLDG SRV","BLDG SERVICE AREA","0",01-DEC-19
"102-202005","202005","102","CIRCULAT","CIRCULATION AREA","0",01-DEC-19
"103-202005","202005","103","CLASSRMS","CLASSROOMS","1",01-DEC-19
"104-202005","202005","104","GENERAL","GENERAL USE","1",01-DEC-19
"105-202005","202005","105","HEALTH","HEALTH CARE","1",01-DEC-19
"106-202005","202005","106","LABS","LABORATORIES","1",01-DEC-19
"107-202005","202005","107","MECHANIC","MECHANICAL AREA","0",01-DEC-19
"108-202005","202005","108","OFFICES","OFFICES","1",01-DEC-19
"109-202005","202005","109","RESIDENT","RESIDENTIAL","1",01-DEC-19
"110-202005","202005","110","SPECIAL","SPECIAL USE","1",01-DEC-19
"111-202005","202005","111","STUDY","STUDY","1",01-DEC-19
"112-202005","202005","112","SUPPORT","SUPPORT","1",01-DEC-19
"113-202005","202005","113","UNCLASS","UNCLASSIFIED","1",01-DEC-19
"114-202005","202005","114","ZUSE","ZUSE ICR ONLY","1",01-DEC-19
"101-202006","202006","101","BLDG SRV","BLDG SERVICE AREA","0",01-JAN-20
"102-202006","202006","102","CIRCULAT","CIRCULATION AREA","0",01-JAN-20
"103-202006","202006","103","CLASSRMS","CLASSROOMS","1",01-JAN-20
"104-202006","202006","104","GENERAL","GENERAL USE","1",01-JAN-20
"105-202006","202006","105","HEALTH","HEALTH CARE","1",01-JAN-20
"106-202006","202006","106","LABS","LABORATORIES","1",01-JAN-20
"107-202006","202006","107","MECHANIC","MECHANICAL AREA","0",01-JAN-20
"108-202006","202006","108","OFFICES","OFFICES","1",01-JAN-20
"109-202006","202006","109","RESIDENT","RESIDENTIAL","1",01-JAN-20
"110-202006","202006","110","SPECIAL","SPECIAL USE","1",01-JAN-20
"111-202006","202006","111","STUDY","STUDY","1",01-JAN-20
"112-202006","202006","112","SUPPORT","SUPPORT","1",01-JAN-20
"113-202006","202006","113","UNCLASS","UNCLASSIFIED","1",01-JAN-20
"114-202006","202006","114","ZUSE","ZUSE ICR ONLY","1",01-JAN-20
"101-202101","202101","101","BLDG SRV","BLDG SERVICE AREA","0",01-AUG-20
"102-202101","202101","102","CIRCULAT","CIRCULATION AREA","0",01-AUG-20
"103-202101","202101","103","CLASSRMS","CLASSROOMS","1",01-AUG-20
"104-202101","202101","104","GENERAL","GENERAL USE","1",01-AUG-20
"105-202101","202101","105","HEALTH","HEALTH CARE","1",01-AUG-20
"106-202101","202101","106","LABS","LABORATORIES","1",01-AUG-20
"107-202101","202101","107","MECHANIC","MECHANICAL AREA","0",01-AUG-20
"108-202101","202101","108","OFFICES","OFFICES","1",01-AUG-20
"109-202101","202101","109","RESIDENT","RESIDENTIAL","1",01-AUG-20
"110-202101","202101","110","SPECIAL","SPECIAL USE","1",01-AUG-20
"111-202101","202101","111","STUDY","STUDY","1",01-AUG-20
"112-202101","202101","112","SUPPORT","SUPPORT","1",01-AUG-20
"113-202101","202101","113","UNCLASS","UNCLASSIFIED","1",01-AUG-20
"114-202101","202101","114","ZUSE","ZUSE ICR ONLY","1",01-AUG-20
"101-202208","202208","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAR-22
"102-202208","202208","102","CIRCULAT","CIRCULATION AREA","0",01-MAR-22
"103-202208","202208","103","CLASSRMS","CLASSROOMS","1",01-MAR-22
"104-202208","202208","104","GENERAL","GENERAL USE","1",01-MAR-22
"105-202208","202208","105","HEALTH","HEALTH CARE","1",01-MAR-22
"106-202208","202208","106","LABS","LABORATORIES","1",01-MAR-22
"107-202208","202208","107","MECHANIC","MECHANICAL AREA","0",01-MAR-22
"108-202208","202208","108","OFFICES","OFFICES","1",01-MAR-22
"109-202208","202208","109","RESIDENT","RESIDENTIAL","1",01-MAR-22
"110-202208","202208","110","SPECIAL","SPECIAL USE","1",01-MAR-22
"111-202208","202208","111","STUDY","STUDY","1",01-MAR-22
"112-202208","202208","112","SUPPORT","SUPPORT","1",01-MAR-22
"113-202208","202208","113","UNCLASS","UNCLASSIFIED","1",01-MAR-22
"114-202208","202208","114","ZUSE","ZUSE ICR ONLY","1",01-MAR-22
"101-202307","202307","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAR-23
"101-201809","201809","101","BLDG SRV","BLDG SERVICE AREA","0",01-APR-18
"102-201809","201809","102","CIRCULAT","CIRCULATION AREA","0",01-APR-18
"103-201809","201809","103","CLASSRMS","CLASSROOMS","1",01-APR-18
"104-201809","201809","104","GENERAL","GENERAL USE","1",01-APR-18
"105-201809","201809","105","HEALTH","HEALTH CARE","1",01-APR-18
"106-201809","201809","106","LABS","LABORATORIES","1",01-APR-18
"107-201809","201809","107","MECHANIC","MECHANICAL AREA","0",01-APR-18
"108-201809","201809","108","OFFICES","OFFICES","1",01-APR-18
"109-201809","201809","109","RESIDENT","RESIDENTIAL","1",01-APR-18
"110-201809","201809","110","SPECIAL","SPECIAL USE","1",01-APR-18
"111-201809","201809","111","STUDY","STUDY","1",01-APR-18
"112-201809","201809","112","SUPPORT","SUPPORT","1",01-APR-18
"113-201809","201809","113","UNCLASS","UNCLASSIFIED","1",01-APR-18
"114-201809","201809","114","ZUSE","ZUSE ICR ONLY","1",01-APR-18
"101-201811","201811","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUN-18
"102-201811","201811","102","CIRCULAT","CIRCULATION AREA","0",01-JUN-18
"103-201811","201811","103","CLASSRMS","CLASSROOMS","1",01-JUN-18
"104-201811","201811","104","GENERAL","GENERAL USE","1",01-JUN-18
"105-201811","201811","105","HEALTH","HEALTH CARE","1",01-JUN-18
"106-201811","201811","106","LABS","LABORATORIES","1",01-JUN-18
"107-201811","201811","107","MECHANIC","MECHANICAL AREA","0",01-JUN-18
"108-201811","201811","108","OFFICES","OFFICES","1",01-JUN-18
"109-201811","201811","109","RESIDENT","RESIDENTIAL","1",01-JUN-18
"110-201811","201811","110","SPECIAL","SPECIAL USE","1",01-JUN-18
"111-201811","201811","111","STUDY","STUDY","1",01-JUN-18
"112-201811","201811","112","SUPPORT","SUPPORT","1",01-JUN-18
"113-201811","201811","113","UNCLASS","UNCLASSIFIED","1",01-JUN-18
"114-201811","201811","114","ZUSE","ZUSE ICR ONLY","1",01-JUN-18
"101-201812","201812","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-18
"102-201812","201812","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-18
"103-201812","201812","103","CLASSRMS","CLASSROOMS","1",01-JUL-18
"104-201812","201812","104","GENERAL","GENERAL USE","1",01-JUL-18
"105-201812","201812","105","HEALTH","HEALTH CARE","1",01-JUL-18
"106-201812","201812","106","LABS","LABORATORIES","1",01-JUL-18
"107-201812","201812","107","MECHANIC","MECHANICAL AREA","0",01-JUL-18
"108-201812","201812","108","OFFICES","OFFICES","1",01-JUL-18
"109-201812","201812","109","RESIDENT","RESIDENTIAL","1",01-JUL-18
"110-201812","201812","110","SPECIAL","SPECIAL USE","1",01-JUL-18
"111-201812","201812","111","STUDY","STUDY","1",01-JUL-18
"112-201812","201812","112","SUPPORT","SUPPORT","1",01-JUL-18
"113-201812","201812","113","UNCLASS","UNCLASSIFIED","1",01-JUL-18
"114-201812","201812","114","ZUSE","ZUSE ICR ONLY","1",01-JUL-18
"101-202004","202004","101","BLDG SRV","BLDG SERVICE AREA","0",01-NOV-19
"102-202004","202004","102","CIRCULAT","CIRCULATION AREA","0",01-NOV-19
"103-202004","202004","103","CLASSRMS","CLASSROOMS","1",01-NOV-19
"104-202004","202004","104","GENERAL","GENERAL USE","1",01-NOV-19
"105-202004","202004","105","HEALTH","HEALTH CARE","1",01-NOV-19
"106-202004","202004","106","LABS","LABORATORIES","1",01-NOV-19
"107-202004","202004","107","MECHANIC","MECHANICAL AREA","0",01-NOV-19
"108-202004","202004","108","OFFICES","OFFICES","1",01-NOV-19
"109-202004","202004","109","RESIDENT","RESIDENTIAL","1",01-NOV-19
"110-202004","202004","110","SPECIAL","SPECIAL USE","1",01-NOV-19
"111-202004","202004","111","STUDY","STUDY","1",01-NOV-19
"112-202004","202004","112","SUPPORT","SUPPORT","1",01-NOV-19
"113-202004","202004","113","UNCLASS","UNCLASSIFIED","1",01-NOV-19
"114-202004","202004","114","ZUSE","ZUSE ICR ONLY","1",01-NOV-19
"101-202108","202108","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAR-21
"102-202108","202108","102","CIRCULAT","CIRCULATION AREA","0",01-MAR-21
"103-202108","202108","103","CLASSRMS","CLASSROOMS","1",01-MAR-21
"104-202108","202108","104","GENERAL","GENERAL USE","1",01-MAR-21
"105-202108","202108","105","HEALTH","HEALTH CARE","1",01-MAR-21
"106-202108","202108","106","LABS","LABORATORIES","1",01-MAR-21
"107-202108","202108","107","MECHANIC","MECHANICAL AREA","0",01-MAR-21
"108-202108","202108","108","OFFICES","OFFICES","1",01-MAR-21
"109-202108","202108","109","RESIDENT","RESIDENTIAL","1",01-MAR-21
"110-202108","202108","110","SPECIAL","SPECIAL USE","1",01-MAR-21
"111-202108","202108","111","STUDY","STUDY","1",01-MAR-21
"112-202108","202108","112","SUPPORT","SUPPORT","1",01-MAR-21
"113-202108","202108","113","UNCLASS","UNCLASSIFIED","1",01-MAR-21
"114-202108","202108","114","ZUSE","ZUSE ICR ONLY","1",01-MAR-21
"101-202110","202110","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAY-21
"102-202110","202110","102","CIRCULAT","CIRCULATION AREA","0",01-MAY-21
"103-202110","202110","103","CLASSRMS","CLASSROOMS","1",01-MAY-21
"104-202110","202110","104","GENERAL","GENERAL USE","1",01-MAY-21
"105-202110","202110","105","HEALTH","HEALTH CARE","1",01-MAY-21
"106-202110","202110","106","LABS","LABORATORIES","1",01-MAY-21
"107-202110","202110","107","MECHANIC","MECHANICAL AREA","0",01-MAY-21
"108-202110","202110","108","OFFICES","OFFICES","1",01-MAY-21
"109-202110","202110","109","RESIDENT","RESIDENTIAL","1",01-MAY-21
"110-202110","202110","110","SPECIAL","SPECIAL USE","1",01-MAY-21
"111-202110","202110","111","STUDY","STUDY","1",01-MAY-21
"112-202110","202110","112","SUPPORT","SUPPORT","1",01-MAY-21
"113-202110","202110","113","UNCLASS","UNCLASSIFIED","1",01-MAY-21
"114-202110","202110","114","ZUSE","ZUSE ICR ONLY","1",01-MAY-21
"101-202205","202205","101","BLDG SRV","BLDG SERVICE AREA","0",01-DEC-21
"102-202205","202205","102","CIRCULAT","CIRCULATION AREA","0",01-DEC-21
"103-202205","202205","103","CLASSRMS","CLASSROOMS","1",01-DEC-21
"104-202205","202205","104","GENERAL","GENERAL USE","1",01-DEC-21
"105-202205","202205","105","HEALTH","HEALTH CARE","1",01-DEC-21
"106-202205","202205","106","LABS","LABORATORIES","1",01-DEC-21
"107-202205","202205","107","MECHANIC","MECHANICAL AREA","0",01-DEC-21
"108-202205","202205","108","OFFICES","OFFICES","1",01-DEC-21
"109-202205","202205","109","RESIDENT","RESIDENTIAL","1",01-DEC-21
"110-202205","202205","110","SPECIAL","SPECIAL USE","1",01-DEC-21
"111-202205","202205","111","STUDY","STUDY","1",01-DEC-21
"112-202205","202205","112","SUPPORT","SUPPORT","1",01-DEC-21
"113-202205","202205","113","UNCLASS","UNCLASSIFIED","1",01-DEC-21
